Student_ID,Age,Faculty,Year_of_Study,City,Accommodation,Scholarship,Part_Time_Job,Internet_Quality,Preferred_Study_Space,Weekly_Study_Hours,Average_Sleep_Hours,Daily_Screen_Time_Hours,Exercise_Days_Per_Week,Commute_Time_Minutes,Stress_Score,Academic_Readiness_Score,Overall_Satisfaction,Monthly_Discretionary_Spending,Social_Activity_Hours_Per_Week
STU0013,22,Life Sciences,2,Chandigarh,Hostel,Yes,No,Average,Home,17.2,4.5,3.9,3,8.3,4.7,64.3,3.1,5313.0,12.3
STU0014,22,Arts & Humanities,4,Hyderabad,PG,No,No,Good,Home,14.2,7.1,2.4,4,18.5,3.9,68.6,4.2,7158.0,3.5
STU0015,20,Arts & Humanities,3,Jammu,Shared Apartment,No,No,Good,Department Lab,13.1,7.8,4.4,3,30.0,5.0,62.8,4.0,6712.0,9.6
STU0016,22,Arts & Humanities,4,Srinagar,Home,No,No,Good,Home,17.4,5.8,4.4,0,15.0,5.4,69.3,4.2,4027.0,8.6
STU0017,20,Arts & Humanities,2,Chandigarh,Home,No,Yes,Good,Home,16.7,7.2,3.6,2,3.0,2.4,65.0,4.6,3337.0,11.7
STU0018,20,Business,1,Chandigarh,Hostel,No,No,Excellent,Library,13.8,6.4,9.8,7,13.9,4.4,79.7,4.5,28000.0,9.2
STU0019,19,Life Sciences,1,Pune,PG,No,No,Good,Home,20.0,6.4,7.5,7,65.2,4.5,72.1,4.7,16791.0,10.4
STU0020,24,Arts & Humanities,2,Bengaluru,Shared Apartment,No,No,Average,Library,17.8,7.3,6.6,0,10.3,6.1,79.6,4.4,4194.0,9.2
STU0021,20,Life Sciences,1,Hyderabad,Hostel,No,No,Good,Home,13.4,6.7,2.9,2,6.0,4.3,70.6,3.8,4124.0,10.5
STU0022,20,Engineering,3,Delhi,Hostel,No,No,Good,Department Lab,18.5,6.7,3.1,6,6.1,3.9,75.0,3.3,5825.0,4.1
STU0023,18,Business,2,Srinagar,Hostel,No,Yes,Average,Café,11.9,6.2,5.5,3,3.0,5.0,71.1,4.3,7295.0,9.6
STU0024,21,Business,3,Chandigarh,Home,No,No,Good,Home,24.0,4.5,4.8,2,8.6,6.3,70.9,2.9,8944.0,8.1
STU0025,21,Data Science,2,Delhi,Home,No,Yes,Excellent,Home,14.2,8.1,3.0,6,28.4,5.5,64.6,5.0,5548.0,4.8
STU0026,20,Engineering,4,Pune,Hostel,No,Yes,Good,Home,18.0,6.9,3.5,3,3.0,7.7,63.7,3.6,6094.0,3.5
STU0027,20,Life Sciences,2,Bengaluru,Shared Apartment,Yes,No,Good,Home,18.2,5.6,2.0,4,14.0,2.9,71.4,4.5,5018.0,9.5
STU0028,20,Engineering,4,Mumbai,Home,Yes,No,Average,Library,7.4,6.5,7.0,3,25.3,4.6,65.0,4.1,4661.0,5.0
STU0029,21,Data Science,1,Chandigarh,Home,No,No,Excellent,Home,13.1,7.1,4.0,5,19.8,2.5,81.6,4.8,2518.0,16.1
STU0030,21,Business,2,Bengaluru,Hostel,Yes,No,Good,Home,8.9,8.2,4.2,2,8.6,4.1,64.8,4.5,7050.0,10.8
STU0031,19,Data Science,1,Pune,Home,No,Yes,Good,Department Lab,6.3,7.3,3.9,0,22.4,6.4,43.9,4.3,4814.0,7.1
STU0032,24,Engineering,4,Srinagar,Hostel,Yes,No,Excellent,Department Lab,15.9,6.8,6.9,5,15.6,5.4,65.7,4.4,5861.0,7.5
STU0033,22,Data Science,3,Srinagar,Hostel,Yes,No,Good,Café,13.2,7.8,3.5,4,15.8,1.0,77.4,4.9,7899.0,3.9
STU0034,20,Data Science,2,Chandigarh,Hostel,No,Yes,Average,Home,14.1,8.2,3.9,7,4.9,1.5,87.7,4.7,6857.0,5.5
STU0035,21,Data Science,3,Srinagar,Home,No,Yes,Good,Home,11.5,6.4,5.4,0,18.1,5.9,57.3,3.6,3885.0,11.3
STU0036,23,Engineering,3,Delhi,Home,No,Yes,Good,Home,9.9,7.0,3.0,3,21.0,4.7,59.9,4.5,5992.0,3.7
STU0037,20,Business,2,Mumbai,Home,No,No,Excellent,Home,13.0,5.3,3.3,1,10.5,6.5,60.5,3.9,3540.0,9.4
STU0038,21,Arts & Humanities,3,Chandigarh,Shared Apartment,No,No,Good,Library,19.5,7.0,7.1,6,35.9,3.4,69.7,4.6,13164.0,10.5
STU0039,22,Arts & Humanities,4,Bengaluru,Home,Yes,No,Good,Home,7.4,5.8,2.7,2,20.3,2.9,77.1,3.8,11350.0,10.5
STU0040,23,Data Science,3,Hyderabad,Hostel,No,No,Poor,Home,16.7,7.2,5.0,1,13.1,4.5,64.5,3.4,2942.0,5.2
STU0041,19,Life Sciences,4,Srinagar,Home,No,No,Good,Department Lab,23.4,6.8,4.0,0,31.0,4.6,84.2,3.6,6427.0,6.1
STU0042,21,Data Science,4,Delhi,Hostel,No,No,Excellent,Department Lab,13.5,5.9,4.8,6,11.7,3.6,67.9,4.4,4699.0,5.9
STU0043,25,Life Sciences,4,Delhi,PG,Yes,No,Good,Home,22.6,8.7,4.6,1,48.0,4.4,65.9,4.0,5626.0,3.2
STU0044,20,Business,1,Srinagar,Hostel,No,No,Excellent,Library,14.2,7.1,3.2,4,13.1,2.1,76.9,5.0,3349.0,3.9
STU0045,23,Engineering,1,Delhi,Home,No,No,Average,Library,9.7,5.6,3.3,3,35.4,3.6,61.3,3.5,2670.0,6.7
STU0046,25,Engineering,1,Delhi,Hostel,No,No,Excellent,Home,8.9,8.5,4.5,0,14.3,4.8,82.6,4.4,6376.0,8.9
STU0047,20,Business,3,Pune,Home,No,No,Good,Department Lab,11.2,6.5,4.5,6,3.0,1.1,52.4,5.0,5396.0,12.4
STU0048,18,Data Science,1,Jammu,Home,No,No,Excellent,Café,10.1,8.2,3.4,4,16.7,2.6,59.2,4.6,4625.0,11.0
STU0049,20,Life Sciences,3,Chandigarh,Shared Apartment,No,No,Average,Home,20.9,8.2,4.4,3,40.0,2.1,78.3,4.2,5283.0,5.1
STU0050,22,Business,1,Jammu,Shared Apartment,No,Yes,Good,Library,15.4,5.6,4.6,2,45.2,8.0,52.5,3.5,7197.0,11.6
STU0051,22,Life Sciences,2,Bengaluru,PG,Yes,No,Good,Home,21.1,6.8,3.1,4,53.7,4.9,75.3,4.6,4509.0,3.7
STU0052,19,Data Science,1,Delhi,Hostel,No,No,Good,Home,14.2,6.4,3.4,2,28.5,4.9,65.1,4.0,13945.0,15.7
STU0053,20,Life Sciences,2,Chandigarh,Home,Yes,Yes,Excellent,Department Lab,14.6,5.3,3.7,4,27.6,4.6,60.6,4.4,2744.0,12.3
STU0054,23,Arts & Humanities,2,Chandigarh,Home,Yes,No,Good,Café,18.4,8.5,4.2,3,26.2,2.5,75.6,4.9,4114.0,4.2
STU0055,20,Data Science,3,Pune,Shared Apartment,Yes,Yes,Average,Library,11.2,6.0,2.9,2,36.1,5.7,50.6,3.5,6196.0,7.6
STU0056,17,Life Sciences,4,Srinagar,Home,No,No,Good,Café,9.9,6.3,3.5,3,15.7,3.5,56.2,4.6,3745.0,8.4
STU0057,19,Business,1,Srinagar,PG,Yes,No,Good,Home,22.2,8.4,8.0,6,22.9,1.7,80.7,5.0,6145.0,7.1
STU0058,22,Business,2,Pune,Hostel,Yes,No,Good,Department Lab,13.0,7.0,4.4,1,12.3,4.3,72.4,4.0,5506.0,9.7
STU0059,17,Arts & Humanities,1,Delhi,Shared Apartment,Yes,Yes,Excellent,Home,12.3,8.2,6.5,3,20.5,5.8,75.9,3.5,14064.0,5.6
STU0060,20,Arts & Humanities,3,Mumbai,Home,No,No,Average,Home,12.0,6.3,1.9,1,9.8,4.6,70.6,4.0,4954.0,4.6
STU0061,22,Life Sciences,4,Jammu,PG,Yes,No,Poor,Department Lab,20.6,6.5,4.3,4,34.7,2.2,76.3,4.2,11904.0,10.5
STU0062,19,Life Sciences,3,Jammu,PG,Yes,No,Good,Department Lab,14.5,6.2,3.3,2,45.6,3.6,63.6,4.0,12194.0,8.6
STU0063,21,Engineering,1,Srinagar,Home,No,No,Good,Library,10.6,6.3,4.2,7,21.9,3.0,66.5,4.3,3753.0,8.4
STU0064,20,Data Science,1,Jammu,Home,Yes,No,Good,Home,18.9,5.7,5.4,2,20.3,3.3,83.7,4.6,4955.0,9.6
STU0065,21,Data Science,2,Pune,Shared Apartment,No,Yes,Good,Department Lab,16.8,8.2,5.0,2,38.8,6.1,68.4,4.1,8013.0,10.5
STU0066,23,Arts & Humanities,3,Jammu,PG,Yes,No,Excellent,Home,13.7,7.9,3.0,2,44.5,4.1,75.4,4.2,3519.0,13.4
STU0067,19,Life Sciences,1,Chandigarh,PG,No,No,Average,Department Lab,11.9,7.5,2.3,6,22.2,1.0,82.8,4.0,5822.0,9.3
STU0068,22,Engineering,2,Mumbai,Home,Yes,No,Good,Library,15.3,6.7,3.0,3,17.4,6.0,66.8,3.7,9465.0,7.1
STU0069,19,Business,1,Hyderabad,Shared Apartment,No,No,Average,Library,19.3,7.7,7.3,0,23.9,5.6,70.2,4.2,5777.0,13.3
STU0070,22,Arts & Humanities,4,Jammu,Home,No,No,Good,Home,16.5,7.2,4.5,2,39.0,4.5,76.4,3.8,6625.0,5.3
STU0071,22,Arts & Humanities,4,Mumbai,PG,No,No,Good,Café,12.5,8.8,7.9,7,20.5,1.1,53.6,5.0,5508.0,13.6
STU0072,24,Engineering,3,Delhi,Home,No,Yes,Good,Café,13.6,7.4,3.2,5,35.9,3.1,79.6,4.3,5516.0,10.5
STU0073,19,Business,2,Pune,PG,No,Yes,Excellent,Library,14.8,6.9,2.7,3,33.6,6.9,59.3,4.7,9965.0,6.6
STU0074,23,Business,2,Pune,Hostel,No,No,Good,Library,6.0,7.4,4.2,3,11.8,3.5,56.9,4.2,4212.0,6.0
STU0075,18,Engineering,2,Hyderabad,Home,Yes,No,Average,Department Lab,19.0,7.4,5.4,0,9.7,5.8,89.0,3.6,2675.0,11.1
STU0076,20,Arts & Humanities,3,Srinagar,Hostel,No,No,Average,Home,19.2,8.1,6.9,0,13.5,4.1,72.9,3.2,5592.0,12.8
STU0077,24,Business,3,Delhi,Shared Apartment,No,No,Average,Café,11.9,5.1,7.1,2,36.4,6.1,50.7,3.8,7160.0,12.2
STU0078,22,Data Science,4,Pune,Home,No,No,Average,Library,15.9,6.4,7.0,4,29.2,6.1,52.7,4.3,3722.0,9.5
STU0079,21,Engineering,4,Srinagar,Hostel,Yes,No,Good,Home,20.0,7.3,3.3,1,11.7,5.7,71.8,4.3,6904.0,6.8
STU0080,17,Engineering,4,Bengaluru,Home,No,No,Poor,Library,16.9,6.9,2.9,1,23.7,5.7,65.0,3.7,5518.0,4.3
STU0081,19,Arts & Humanities,4,Jammu,Shared Apartment,Yes,No,Average,Department Lab,17.0,7.2,6.5,3,30.6,4.9,81.1,4.6,6950.0,7.1
STU0082,22,Engineering,3,Delhi,Hostel,No,No,Good,Home,13.4,7.3,7.9,3,9.5,4.9,71.3,4.4,10073.0,7.6
STU0083,21,Arts & Humanities,3,Pune,PG,Yes,Yes,Good,Department Lab,12.8,6.0,1.7,7,21.2,3.8,64.8,4.0,4371.0,9.7
STU0084,22,Engineering,2,Hyderabad,Hostel,No,No,Good,Home,15.3,7.3,2.7,3,9.3,2.9,67.3,4.1,31500.0,5.9
STU0085,22,Arts & Humanities,1,Chandigarh,PG,Yes,No,Excellent,Library,15.4,8.5,5.7,2,19.5,4.7,66.3,3.8,6617.0,5.1
STU0086,18,Arts & Humanities,1,Delhi,Home,Yes,No,Good,Home,20.8,5.9,10.1,3,23.6,6.2,65.6,3.9,3399.0,2.7
STU0087,21,Engineering,3,Hyderabad,PG,Yes,Yes,Good,Home,22.9,6.0,6.2,0,14.7,6.7,83.8,4.2,5351.0,8.7
STU0088,21,Business,2,Chandigarh,Shared Apartment,No,No,Good,Home,21.0,7.4,3.9,3,5.5,3.1,87.2,4.5,2695.0,7.7
STU0089,21,Life Sciences,3,Mumbai,Shared Apartment,Yes,No,Average,Home,16.6,8.4,5.0,4,27.6,3.6,83.6,3.4,4420.0,9.2
STU0090,18,Engineering,1,Jammu,Hostel,No,Yes,Average,Library,11.2,9.1,5.2,4,7.3,4.4,60.9,4.8,6760.0,6.7
STU0091,22,Life Sciences,3,Bengaluru,Home,No,No,Good,Library,14.6,6.2,2.6,3,6.3,2.3,73.0,4.7,4674.0,4.9
STU0092,19,Business,2,Delhi,Home,No,No,Poor,Library,15.9,7.6,3.4,3,39.4,2.5,73.8,3.7,5265.0,11.8
STU0093,21,Data Science,3,Bengaluru,Home,No,No,Good,Library,11.5,8.1,5.8,1,20.0,3.9,85.6,4.0,5415.0,17.6
STU0094,22,Engineering,2,Pune,Hostel,No,No,Average,Home,11.4,6.5,7.0,2,17.2,5.6,72.3,3.2,19559.0,6.6
STU0095,20,Data Science,4,Hyderabad,Hostel,No,Yes,Good,Home,16.6,8.3,5.5,0,15.6,5.4,84.3,4.3,11258.0,6.1
STU0096,21,Arts & Humanities,1,Mumbai,PG,No,Yes,Good,Home,16.4,7.5,2.7,2,13.2,4.5,73.9,4.6,2586.0,1.0
STU0097,21,Business,1,Chandigarh,Home,Yes,No,Poor,Library,16.4,5.4,6.3,5,17.2,2.7,63.7,3.5,4658.0,9.6
STU0098,21,Life Sciences,3,Hyderabad,Home,No,Yes,Average,Library,17.9,6.9,6.7,3,30.5,7.1,61.8,4.0,3874.0,9.9
STU0099,20,Data Science,1,Delhi,Hostel,No,No,Poor,Café,14.4,7.6,4.8,3,15.9,3.2,58.3,3.5,3276.0,11.2
STU0100,22,Data Science,3,Srinagar,PG,No,No,Good,Library,17.3,7.9,2.2,1,26.9,3.9,66.9,4.1,6452.0,6.3
STU0101,21,Engineering,1,Bengaluru,Hostel,No,No,Average,Home,13.0,6.2,3.1,3,14.7,3.2,82.1,4.0,4139.0,8.2
STU0102,23,Data Science,1,Srinagar,Shared Apartment,No,Yes,Average,Department Lab,17.9,7.2,2.7,3,47.3,9.4,48.0,3.5,13334.0,7.2
STU0103,22,Life Sciences,4,Delhi,Shared Apartment,Yes,No,Good,Home,23.2,7.2,2.7,0,30.6,5.9,85.3,4.3,8692.0,5.5
STU0104,20,Data Science,1,Bengaluru,Shared Apartment,No,No,Good,Home,14.7,6.5,7.0,6,20.6,5.1,78.0,3.8,5945.0,8.9
STU0105,22,Data Science,1,Hyderabad,Home,No,No,Good,Home,17.8,6.0,6.4,5,22.4,6.7,57.2,4.1,10086.0,9.2
STU0106,19,Engineering,4,Chandigarh,Home,Yes,No,Good,Department Lab,16.8,6.8,4.6,3,29.7,3.1,89.4,3.9,4384.0,3.5
STU0107,22,Business,3,Delhi,Hostel,Yes,No,Average,Home,17.2,7.2,5.5,5,15.0,2.9,65.9,3.8,3538.0,12.6
STU0108,20,Arts & Humanities,4,Bengaluru,Shared Apartment,No,Yes,Excellent,Home,10.2,8.3,3.6,2,9.9,4.0,74.4,4.2,7417.0,5.6
STU0109,20,Business,2,Srinagar,Hostel,No,No,Good,Library,16.8,7.1,5.2,5,19.4,3.0,72.5,5.0,5642.0,8.3
STU0110,19,Engineering,3,Bengaluru,PG,No,No,Average,Library,18.5,6.5,5.9,1,3.9,7.5,68.8,3.1,3684.0,10.7
STU0111,20,Data Science,2,Pune,Shared Apartment,Yes,No,Good,Home,20.7,7.2,4.7,1,16.4,4.1,85.3,4.3,9042.0,9.2
STU0112,18,Life Sciences,1,Srinagar,PG,Yes,No,Excellent,Home,14.9,7.8,8.7,2,46.5,7.9,72.0,3.5,7963.0,7.7
STU0113,23,Engineering,2,Mumbai,Home,No,No,Excellent,Home,12.1,8.7,2.5,4,42.5,3.5,71.7,4.6,6977.0,2.3
STU0114,21,Arts & Humanities,1,Srinagar,Home,No,No,Good,Department Lab,13.7,7.4,4.7,3,18.9,5.5,61.8,3.6,1964.0,6.9
STU0115,20,Arts & Humanities,1,Mumbai,PG,No,Yes,Good,Library,15.8,6.4,2.3,5,33.2,5.1,54.3,4.1,6844.0,2.4
STU0116,22,Life Sciences,4,Delhi,PG,Yes,Yes,Excellent,Library,12.5,8.5,3.9,4,31.0,5.0,75.8,4.7,10457.0,7.4
STU0117,21,Life Sciences,1,Jammu,PG,No,Yes,Good,Home,16.4,6.0,4.4,5,52.7,6.9,68.9,4.1,8536.0,10.5
STU0118,23,Engineering,1,Hyderabad,Hostel,No,No,Good,Department Lab,23.1,5.7,6.6,1,8.8,7.8,91.1,3.6,9131.0,6.4
STU0119,24,Data Science,3,Chandigarh,Hostel,No,No,Average,Department Lab,10.2,6.4,3.1,0,32.5,4.3,61.5,4.2,9333.0,9.5
STU0120,22,Engineering,1,Jammu,Hostel,Yes,No,Excellent,Library,10.7,7.0,4.8,3,3.0,5.6,74.4,4.5,6289.0,6.7
STU0121,21,Life Sciences,3,Chandigarh,Home,No,No,Good,Home,22.4,7.6,3.8,2,24.5,4.3,86.8,4.3,5106.0,12.6
STU0122,21,Arts & Humanities,1,Srinagar,Home,No,No,Good,Café,18.3,6.4,1.7,3,20.0,4.7,73.1,5.0,4443.0,6.0
STU0123,21,Arts & Humanities,1,Delhi,Home,No,No,Average,Home,16.6,6.2,4.6,7,12.1,1.6,72.2,3.9,5916.0,12.7
STU0124,20,Engineering,1,Pune,Home,No,Yes,Excellent,Library,15.9,7.3,6.4,6,13.9,2.2,84.7,4.5,2912.0,5.5
STU0125,18,Business,3,Jammu,Home,No,Yes,Average,Home,12.8,8.9,7.4,1,18.0,6.5,74.3,3.7,3898.0,10.4
STU0126,23,Data Science,2,Chandigarh,Home,No,No,Good,Library,12.8,7.0,2.0,7,22.1,2.2,68.2,4.7,4301.0,12.4
STU0127,21,Data Science,1,Jammu,Home,Yes,No,Average,Home,13.0,7.7,3.3,0,32.4,5.5,77.9,4.8,4321.0,9.4
STU0128,22,Engineering,1,Pune,Hostel,Yes,No,Average,Home,17.7,7.1,3.5,2,11.1,3.3,68.1,3.4,3369.0,5.6
STU0129,20,Life Sciences,4,Mumbai,PG,No,Yes,Good,Home,17.0,6.4,5.1,5,34.7,5.6,73.5,4.3,7001.0,6.8
STU0130,20,Engineering,1,Jammu,Home,No,No,Average,Home,13.5,7.6,1.6,6,11.3,1.4,66.2,4.7,6238.0,8.3
STU0131,21,Business,4,Delhi,Home,No,No,Good,Department Lab,27.8,6.7,4.1,0,28.0,6.0,98.0,4.1,2320.0,7.2
STU0132,17,Arts & Humanities,1,Bengaluru,Home,No,Yes,Excellent,Department Lab,7.9,7.5,6.4,0,15.7,6.8,60.5,4.1,4512.0,1.6
STU0133,18,Arts & Humanities,2,Mumbai,Hostel,No,No,Good,Home,14.0,7.5,3.4,1,11.2,7.1,74.4,4.0,8107.0,12.1
STU0134,21,Data Science,2,Delhi,Home,Yes,No,Good,Home,14.0,7.8,8.5,2,39.7,4.7,71.1,3.7,5674.0,8.3
STU0135,21,Arts & Humanities,2,Hyderabad,Hostel,No,No,Good,Library,16.9,6.7,3.5,2,25.1,3.6,82.9,4.6,3783.0,4.7
STU0136,20,Business,3,Bengaluru,PG,No,No,Good,Department Lab,5.7,7.4,4.3,3,34.1,3.1,70.2,4.1,7816.0,1.1
STU0137,18,Data Science,2,Jammu,Hostel,Yes,No,Good,Home,13.2,6.5,4.2,1,12.7,4.6,68.2,4.2,4922.0,9.5
STU0138,18,Engineering,1,Jammu,Hostel,No,No,Good,Library,23.2,6.5,4.5,4,15.2,5.9,81.1,3.6,4852.0,11.5
STU0139,22,Arts & Humanities,3,Delhi,Shared Apartment,No,No,Average,Library,11.8,6.4,3.3,3,11.1,3.7,71.3,4.6,9289.0,6.2
STU0140,21,Engineering,3,Delhi,Home,Yes,Yes,Good,Department Lab,19.8,6.5,2.4,1,33.7,5.7,88.5,4.4,7859.0,13.5
STU0141,20,Data Science,1,Delhi,Home,Yes,No,Excellent,Home,16.7,7.0,5.8,0,11.1,5.3,78.6,3.9,3503.0,10.0
STU0142,23,Data Science,1,Delhi,PG,Yes,No,Good,Home,14.3,8.1,11.8,1,28.8,5.1,52.3,3.5,6165.0,8.3
STU0143,19,Arts & Humanities,2,Jammu,Home,No,No,Average,Home,13.8,7.1,4.3,3,33.3,1.6,73.4,4.0,2763.0,5.4
STU0144,18,Life Sciences,4,Srinagar,Hostel,No,No,Average,Library,13.1,7.3,2.6,2,9.9,5.3,58.8,3.6,5264.0,6.8
STU0145,20,Engineering,3,Hyderabad,Hostel,No,No,Excellent,Department Lab,15.4,8.0,4.1,4,8.7,2.0,85.3,5.0,3322.0,7.4
STU0146,18,Business,1,Bengaluru,PG,No,No,Excellent,Library,20.0,6.4,4.6,5,27.2,2.6,70.9,4.8,11450.0,11.3
STU0147,22,Business,3,Chandigarh,PG,No,No,Good,Home,15.8,8.0,7.7,4,19.5,4.6,84.2,4.1,5655.0,10.6
STU0148,20,Data Science,1,Pune,Home,No,No,Good,Department Lab,14.9,6.0,3.1,2,35.1,4.1,62.5,4.7,1602.0,7.4
STU0149,20,Arts & Humanities,3,Jammu,PG,No,No,Good,Home,13.4,7.2,2.8,0,40.5,7.6,57.8,3.5,2812.0,7.3
STU0150,19,Data Science,1,Srinagar,Home,No,No,Good,Home,17.0,7.4,3.2,0,28.0,4.5,78.5,3.6,4211.0,10.0
STU0151,19,Data Science,2,Bengaluru,Home,No,No,Average,Home,16.3,6.0,2.7,4,45.8,4.9,71.4,3.5,5257.0,7.6
STU0152,24,Business,1,Mumbai,Hostel,No,No,Poor,Home,12.9,6.8,5.4,3,24.7,4.4,53.8,4.6,5393.0,11.1
STU0153,23,Data Science,3,Chandigarh,Hostel,No,Yes,Poor,Home,10.9,6.5,6.8,0,12.5,5.9,64.2,2.9,10255.0,10.4
STU0154,21,Life Sciences,1,Srinagar,Hostel,No,No,Good,Department Lab,16.8,6.8,3.7,1,16.6,5.1,72.4,4.5,5396.0,10.1
STU0155,23,Life Sciences,3,Jammu,Home,No,No,Poor,Department Lab,12.6,5.7,3.1,4,21.6,5.0,64.1,3.0,6025.0,11.8
STU0156,23,Life Sciences,3,Mumbai,Home,No,No,Average,Department Lab,18.5,7.8,6.0,5,17.1,2.1,90.0,4.8,3975.0,5.5
STU0157,23,Life Sciences,2,Hyderabad,Hostel,No,No,Good,Home,15.0,8.0,3.7,4,16.5,4.1,65.6,5.0,8059.0,9.0
STU0158,18,Business,2,Hyderabad,Shared Apartment,No,Yes,Average,Home,6.5,6.3,3.1,3,32.8,6.3,56.7,3.5,14667.0,9.6
STU0159,20,Arts & Humanities,2,Jammu,Shared Apartment,No,Yes,Good,Home,9.6,9.2,4.3,3,36.8,4.3,53.7,4.5,8852.0,11.0
STU0160,24,Arts & Humanities,3,Mumbai,Hostel,Yes,No,Good,Home,26.6,6.0,7.3,0,7.2,6.7,75.2,3.9,7560.0,6.6
STU0161,22,Data Science,2,Bengaluru,Shared Apartment,No,Yes,Average,Home,11.6,5.7,5.1,5,26.3,4.0,69.8,3.2,10926.0,16.2
STU0162,20,Business,2,Pune,Hostel,Yes,No,Good,Home,17.7,6.2,3.7,5,16.4,3.8,86.0,4.0,5697.0,9.3
STU0163,22,Arts & Humanities,3,Srinagar,Shared Apartment,No,No,Good,Library,24.9,6.9,6.2,3,32.4,4.2,84.1,3.9,6267.0,8.4
STU0164,21,Arts & Humanities,4,Chandigarh,PG,No,No,Average,Home,21.5,6.9,3.2,2,23.2,3.6,86.1,4.5,7806.0,10.4
STU0165,22,Engineering,2,Delhi,Home,No,Yes,Excellent,Library,14.8,6.8,2.8,3,35.2,7.0,53.2,4.6,3601.0,7.6
STU0166,19,Business,4,Mumbai,Home,No,No,Average,Library,18.2,9.5,1.8,6,26.3,1.0,86.3,4.7,5326.0,11.0
STU0167,23,Arts & Humanities,3,Bengaluru,Home,No,Yes,Excellent,Home,15.8,6.8,5.9,2,19.8,6.8,81.3,4.1,4560.0,11.7
STU0168,19,Data Science,2,Mumbai,Home,No,No,Good,Home,16.2,6.5,7.0,3,15.4,3.3,73.2,3.6,6343.0,9.7
STU0169,22,Business,4,Pune,Home,No,No,Excellent,Café,14.3,7.0,3.9,3,13.3,4.1,64.5,5.0,6195.0,3.8
STU0170,22,Data Science,1,Jammu,Shared Apartment,Yes,No,Excellent,Home,17.1,6.0,4.1,1,35.6,6.2,70.8,4.3,8484.0,11.1
STU0171,21,Data Science,2,Bengaluru,Shared Apartment,No,Yes,Average,Home,7.9,7.0,4.5,3,20.4,4.8,53.9,4.6,7134.0,5.7
STU0172,21,Business,1,Chandigarh,Hostel,No,No,Average,Home,19.4,6.2,5.1,6,7.2,4.2,63.8,3.7,4661.0,7.6
STU0173,21,Data Science,1,Srinagar,Home,Yes,No,Good,Department Lab,15.0,7.7,10.4,2,17.5,5.7,76.6,4.2,4248.0,5.6
STU0174,23,Business,2,Jammu,Home,No,No,Good,Library,14.9,6.8,3.2,5,14.3,3.7,78.0,4.6,7887.0,10.6
STU0175,21,Business,4,Bengaluru,Home,No,No,Excellent,Home,19.2,7.8,2.1,2,45.6,5.8,79.8,3.8,2503.0,6.5
STU0176,19,Arts & Humanities,4,Delhi,Hostel,Yes,No,Good,Department Lab,14.1,6.2,3.3,3,3.0,3.8,77.5,4.8,5844.0,8.7
STU0177,22,Business,1,Srinagar,Home,No,No,Good,Home,13.7,8.6,3.7,7,30.6,1.0,74.8,5.0,4330.0,12.2
STU0178,22,Arts & Humanities,2,Mumbai,Hostel,No,No,Average,Café,20.2,6.4,4.8,4,14.2,1.8,76.4,4.4,3978.0,9.3
